噶哈巫語,華語
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」
kaidini nahaza udan.,「這裡有雨。」
ohoni ini mudan.,「現在沒下雨。」
mituku lia.,「坐了。」
kaidini nahaza aitukuan.,「在這裡有椅子。」
ita ka tatawan a saw.,「咱們是台灣人。」
yaku meken dadas lia.,「我吃番薯了。」
zuzut’i saaken iu sumay na.,「請裝菜、裝飯！」
mikita babizu muuput lia.,「看完書了。」
yaku muuput a siisinaw siatu lia.,「我洗完衣服了。」
alo meken sumay!,「來吃飯！」
alo mudok taating a inusat!,「來喝一點酒！」
yaku ini musinaw kaaw.,「我沒洗腳。」
imisiw talima pakamuaping.,「他自己弄破。」
pakaasikit liaki yaku a kaaw.,「讓我的腳痛了。」
paka nita umu maziah.,「讓咱們的粿熟。」
paka isiw paluzuakzuak’i nahaza ali akhéhén.,「讓你多子多孫有孫、小孩」
paka isiw mahabay taating,「給你較好。」
paka bauzak meken.,「讓豬吃。」
aba mututing akhéhén.,「爸爸打小孩。」
tuting’en naki liaki wazu.,「狗被我打了。」
imini a dadas ka yaku a dadas.,「這番薯是我的番薯。」
imini ka kaidi kalikus maa mupuza.,「這在大湳拿來。」
azem haka kaidi xasep adang ilas iu xasep isit a daali haki yami kaxabu a azem.,「我們噶哈巫的過年是在十一月十五日。」
pakahalupat’ina!,「請長一點！」
pakamaziah’i!,「使熟！」
seket’i taating hann!,「休息一下下！」
isiw a pai suzuk’i!,「你的錢藏起來！」
imini ka yaku a ina.,「這是我的母親。」
imisiw ka yaku a aba.,「那是我的父親。」
nisiw a pai haaput mubaxa ima?,「你的錢要給誰？」
isiw ka mudok axay?,「你在喝什麼？」
imisiw ka kaidi taantaw siisinaw siatu.,「他在水溝洗衣服。」
imisiw ka kaidi humak meken sumay lia.,「他在家裡吃飯了。」
"yami a aba, ina, apuapu kaidini malaleng.",「我們的父親、母親、曾祖父母在這裡居住。」
"yaku ka kaidini mituku, imu ka kaidisiw maahadas.",「我在這裡坐，他們在那裡玩。」
yaku talima kaidi humak eezaw.,「我自己在家而已。」
"dahu a paipai kaidi daan, hazian a saanu muzakay.",「在路上很多車，很不好走。」
imini a wazu ka saanu imisiw mututing.,「這狗被他打。」
inusat saanu saw mabusuk.,「酒讓人醉。」
yaku maa pai saanu isiw.,「我拿錢給你。」
yaku saanu tatoko mututing wazu.,「我用拐杖打狗。」
paka isiw paluzuakzuak’i nahaza ali akhéhén.,「讓你多子多孫有孫、小孩！」
yaku maki isiw kaidini palizak.,「我跟你在這裡曬太陽。」
yaku maki mama mukusa binayu.,「我和哥哥去山上。」
yaku iu mama mukusa binayu.,「我和哥哥去山上。」
yaku nahaza mama iu iah.,「我有哥哥和姊姊。」
muzakay iu maxidaxang haka asikit a punu lia.,「走路和流汗就頭痛了。」
alo maki yami meken!,「來跟我們吃！」
nang a maki isiw mukawas.,「不要跟你講話。」
imini a ahan ka mades ini mukawat.,「這話很久沒說。」
"imisiw a akhéhén mamais, ukut muaping lia.",「那個女孩，褲子破掉了。」
"kaidini a aitukuan, aa’en akhéhén lia.",「在這裡的椅子，被小孩拿走了。」
kaidini nahaza adade a lubahing a tulala.,「在這裡有一朵花。」
kaidisiw a balan muzakay.,「在那裡的貓在走路。」
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」
ana monosu!,「別那樣！」
"ohoni a saw, dahu a hazian a saw haé.",「現在的人，很多壞人呀！」
ohoza a saw haaput mukusa binayu.,「以前的人喜歡去山上。」
mikita azang a titay.,「看到一隻老鼠。」
kaidini nahaza adade a lubahing a tulala.,「在這裡有一朵花。」
yami a humak daadalum tuu a bauzak.,「我們家養三隻豬。」
yami dusa ka hakezeng a saw.,「我們兩個是老人。」
ita tuu ka tatawan a saw.,「咱們三個是臺灣人。」
alia haaput midem lia.,「差不多要睡了。」
alia lia.,「差不多了。」
"apu ka ini tahayak, mituku eezaw.",「阿公不累，坐著而已。」
imini eezaw lia.,「這樣而已了。」
adade eezaw.,「一個而已。」
imini a kazo tuxubut azawzaw.,「這桃子非常甜。」
ana maahan azawzaw hann.,「別亂騙人。」
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」
imini ka uzay yaku a beleben.,「這不是我的香蕉。」
yaku ini meken sumay.,「我沒有吃飯。」
ana mukusa!,「別去！」
yaku mayaw meken.,「我還沒吃。」
kuang a udan lia.,「沒有雨了。」
yaku a aba ka nang a musinaw yaku a siatu.,「我的爸爸不要洗我的衣服。」
akhéhén mamek axaxay.,「小孩什麼都不懂。」
yaku ka mineken lia.,「我吃完了。」
yaku a suazi mudawan ka maida.,「我的弟弟洗澡很快。」
yaku ka kaxabu a saw.,「我是噶哈巫人。」
yaku ka meken sumay.,「我在吃飯。」
imini ka uzay yaku a beleben.,「這不是我的香蕉。」
yaku a aba ka maida a muzakay.,「我的爸爸走路很快。」
yaku a apu madiak a muzakay.,「我的祖父走路很慢。」
yaku nahaza mama iu iah.,「我有哥哥和姊姊。」
muzakay iu maxidaxang haka asikit a punu lia.,「走路和流汗就頭痛了。」
isiw ka haaput meken dadas iu dukun?,「你是要吃番薯還是芋頭？」
"yaku haaput mukusa binayu iak, iu ana mukusa iak?",「我要去好，還是不要去好？」
