噶哈巫語,華語,模型翻譯
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」,atun ohoni medeken yaku a tatoko.
kaidini nahaza udan.,「這裡有雨。」,kaidini nahaza udan.
ohoni ini mudan.,「現在沒下雨。」,ohoni ini mudan.
mituku lia.,「坐了。」,mituku lia.
kaidini nahaza aitukuan.,「在這裡有椅子。」,kaidini nahaza a aso.
ita ka tatawan a saw.,「咱們是台灣人。」,ita ka tatawan a saw.
yaku meken dadas lia.,「我吃番薯了。」,yaku meken dadas lia.
zuzut’i saaken iu sumay na.,「請裝菜、裝飯！」,paket’en muraabak’i kiaku!
mikita babizu muuput lia.,「看完書了。」,muduruk liak ana lia.
yaku muuput a siisinaw siatu lia.,「我洗完衣服了。」,yaku mudawan a siatu a paka lia.
alo meken sumay!,「來吃飯！」,alo meken sumay!
alo mudok taating a inusat!,「來喝一點酒！」,alo maimais kasi mutu a inu!
yaku ini musinaw kaaw.,「我沒洗腳。」,yaku ini musinaw mededen.
imisiw talima pakamuaping.,「他自己弄破。」,imisiw a ahanazipita.
pakaasikit liaki yaku a kaaw.,「讓我的腳痛了。」,paka azaw naki e selem lia.
paka nita umu maziah.,「讓咱們的粿熟。」,paka painek’en nami taam.
paka isiw paluzuakzuak’i nahaza ali akhéhén.,「讓你多子多孫有孫、小孩」,"paka isiw paluzuakzuak’i kaidaw a akhéhén a akhéhéndéhén a hénén, wazaw."
paka isiw mahabay taating,「給你較好。」,haaput saisay yaku.
paka bauzak meken.,「讓豬吃。」,pak’ina bauzak meken.
aba mututing akhéhén.,「爸爸打小孩。」,aba mututing akhéhén.
tuting’en naki liaki wazu.,「狗被我打了。」,tuting’en naki liaki wazu.
imini a dadas ka yaku a dadas.,「這番薯是我的番薯。」,imini a dadas ka yaku a dadas.
imini ka kaidi kalikus maa mupuza.,「這在大湳拿來。」,imini ka kaidi balawan maxuzu.
azem haka kaidi xasep adang ilas iu xasep isit a daali haki yami kaxabu a azem.,「我們噶哈巫的過年是在十一月十五日。」,yami kaxabu a pasakat tadin ana.
pakahalupat’ina!,「請長一點！」,pasinaw’ina!
pakamaziah’i!,「使熟！」,pak
seket’i taating hann!,「休息一下下！」,seket’i taating!
isiw a pai suzuk’i!,「你的錢藏起來！」,isiw a pai saanu tebeleveni!
imini ka yaku a ina.,「這是我的母親。」,imini ka yaku a ina.
imisiw ka yaku a aba.,「那是我的父親。」,imisiw ka yaku a aba.
nisiw a pai haaput mubaxa ima?,「你的錢要給誰？」,isimw ka paiu saisay?
isiw ka mudok axay?,「你在喝什麼？」,isiw ka mutuku dauzak?
imisiw ka kaidi taantaw siisinaw siatu.,「他在水溝洗衣服。」,imisiw ka kaidi tangaww’en sumay singan.
imisiw ka kaidi humak meken sumay lia.,「他在家裡吃飯了。」,imisiw ka kaidi humak meken sumay lia.
"yami a aba, ina, apuapu kaidini malaleng.",「我們的父親、母親、曾祖父母在這裡居住。」,"yami a aba, ina, apuyu, ivelexen kaidini malalima."
"yaku ka kaidini mituku, imu ka kaidisiw maahadas.",「我在這裡坐，他們在那裡玩。」,"yaku kaidini midem, iaws kaidisiw muzakay."
yaku talima kaidi humak eezaw.,「我自己在家而已。」,yaku talima kaidi umu eezaw.
"dahu a paipai kaidi daan, hazian a saanu muzakay.",「在路上很多車，很不好走。」,kaidi malalad a aatu mazuku.
imini a wazu ka saanu imisiw mututing.,「這狗被他打。」,imini a wazu ka saanu imisiw mututing.
inusat saanu saw mabusuk.,「酒讓人醉。」,mudut liang a saw haki isu liaki anatu.
yaku maa pai saanu isiw.,「我拿錢給你。」,yaku mupu saanu isiw daatuku.
yaku saanu tatoko mututing wazu.,「我用拐杖打狗。」,yaku saanu utupun mukusa wazu.
paka isiw paluzuakzuak’i nahaza ali akhéhén.,「讓你多子多孫有孫、小孩！」,pasaken nitiw azawzaw maanu a akhéhén!
yaku maki isiw kaidini palizak.,「我跟你在這裡曬太陽。」,yaku maki isiw kaidini tabu matahin.
yaku maki mama mukusa binayu.,「我和哥哥去山上。」,yaku iu mama mukusa binayu.
yaku iu mama mukusa binayu.,「我和哥哥去山上。」,yaku iu mama mukusa binayu.
yaku nahaza mama iu iah.,「我有哥哥和姊姊。」,yaku nahaza mama iu iah.
muzakay iu maxidaxang haka asikit a punu lia.,「走路和流汗就頭痛了。」,sazukuan iu tahasima haaput udan lia.
