噶哈巫語,華語,kaxabu_mt,華語_clean
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」,Atun niani mala ku guaizhang,Atun 現在在撿我的拐杖。
kaidini nahaza udan.,「這裡有雨。」,Tini uran.,這裡有雨。
ohoni ini mudan.,「現在沒下雨。」,ita adu udan.,現在沒下雨。
mituku lia.,「坐了。」,induduk,坐了。
kaidini nahaza aitukuan.,「在這裡有椅子。」,isu i nia,在這裡有椅子。
ita ka tatawan a saw.,「咱們是台灣人。」,ita tao a taywan.,咱們是台灣人。
yaku meken dadas lia.,「我吃番薯了。」,Yaku kinan kamote.,我吃番薯了。
zuzut’i saaken iu sumay na.,「請裝菜、裝飯！」,Tuku sai ma pan!,請裝菜、裝飯！
mikita babizu muuput lia.,「看完書了。」,Kita buku ua.,看完書了。
yaku muuput a siisinaw siatu lia.,「我洗完衣服了。」,Yaku m-sibus tu yifu ini.,我洗完衣服了。
alo meken sumay!,「來吃飯！」,mali mangan!,來吃飯！
alo mudok taating a inusat!,「來喝一點酒！」,minum ta bahi!,來喝一點酒！
yaku ini musinaw kaaw.,「我沒洗腳。」,yaku adi mlasiq siku,我沒洗腳。
imisiw talima pakamuaping.,「他自己弄破。」,iya kisi’a pabuak,他自己弄破。
pakaasikit liaki yaku a kaaw.,「讓我的腳痛了。」,Masakit saka-ku.,讓我的腳痛了。
paka nita umu maziah.,「讓咱們的粿熟。」,Pakamatu kue na ita.,讓咱們的粿熟。
paka isiw paluzuakzuak’i nahaza ali akhéhén.,「讓你多子多孫有孫、小孩」,ka misa’ay a wawa ma apo ni isu,讓你多子多孫有孫、小孩
paka isiw mahabay taating,「給你較好。」,Mapia tu isu.,給你較好。
paka bauzak meken.,「讓豬吃。」,pakakan tu babuy.,讓豬吃。
aba mututing akhéhén.,「爸爸打小孩。」,Ama pukul wawa.,爸爸打小孩。
tuting’en naki liaki wazu.,「狗被我打了。」,pukpuken asu ni iku,狗被我打了。
imini a dadas ka yaku a dadas.,「這番薯是我的番薯。」,kumala ini kumala-ku,這番薯是我的番薯。
imini ka kaidi kalikus maa mupuza.,「這在大湳拿來。」,iza mai ni Danan,這在大湳拿來。
